division	Amazonas	-5.0	-78.23333
division	Ancash	-9.52779	-77.5277
division	Arequipa	-16.39889	-71.535
division	Apurimac	-14.0	-73.0
division	Ayacucho	-13.15878	-74.22321
division	Cajamarca	-7.15639	-78.5156
division	Callao	-12.0542	-77.1289
division	Cusco	-13.52264	-71.96734
division	Huancavelica	-12.786389	-74.975555
division	Huanuco	-9.93062	-76.24223
division	Ica	-14.0639	-75.7292
division	Junin	-11.15895	-75.99304
division	La Libertad	-9.63306	-77.7417
division	Lambayeque	-6.70111	-79.90611
division	Lima	-12.04318	-77.02824
division	Loreto	-3.75	-73.2444
division	Moquegua	-17.19832	-70.93567
division	Pasco	-10.66748	-76.25668
division	Piura	-5.0	-80.33333
division	San Martin	-7.0	-76.83333
division	Tacna	-18.006569	-70.246277
division	Ucayali	-8.37915	-74.55387
